	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Adap1_1	0.7062937062937062	0.24875124875124874	0.994005994005994																		
Aftph_4	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.01998001998001998																	
Agrn_8	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.37162837162837165																
Agtpbp1_11	0.26873126873126874	0.6413586413586414	1.0	1.0																	
Aldh3a2_2	1.0	0.7932067932067932																			
Angel2_1	0.000999000999000999	0.000999000999000999	0.017982017982017984	1.0																	
Ankfy1_5	0.43356643356643354	0.06293706293706294	0.002997002997002997	0.7752247752247752																	
Arfip2_nmdSE_1	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																
Arhgef40_7	0.983016983016983	0.995004995004995	0.025974025974025976																		
Armc9_4	0.7932067932067932	1.0	0.981018981018981																		
B4galt3_1	0.000999000999000999	0.12187812187812187	0.9370629370629371	1.0																	
Bclaf1_1	0.000999000999000999	0.000999000999000999	0.02197802197802198	0.33666333666333664																	
Btrc_1	0.2087912087912088	0.6953046953046953	0.5414585414585414	0.002997002997002997																	
Cacna1e_2	0.06693306693306693	0.000999000999000999	0.5424575424575424																		
Camk2d_1	0.00999000999000999	0.029970029970029972	0.16983016983016982	1.0	1.0																
Camta1_5	0.000999000999000999	0.000999000999000999	0.014985014985014986	0.000999000999000999																	
Ccdc127_2	0.15584415584415584	0.6083916083916084	0.995004995004995	1.0																	
Ccdc136_17	0.000999000999000999	0.000999000999000999	0.000999000999000999																		
Chtf8_3	0.000999000999000999	0.000999000999000999	0.8761238761238761	0.08491508491508491																	
Ciz1_2	0.6363636363636364	0.5154845154845155	0.9370629370629371	1.0																	
Clcn4_nmdSE_1	0.2907092907092907	0.4945054945054945	0.7212787212787213	1.0																	
Clip1_11	0.000999000999000999	0.000999000999000999	0.08591408591408592	1.0	0.5394605394605395																
Cyb5r4_1	0.6963036963036963	0.19080919080919082	0.04995004995004995																		
Dcaf11_1	1.0	1.0																			
Dcun1d2_7	0.6653346653346653	1.0																			
Dhcr7_5	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999															
Dis3l2_7	0.1008991008991009	0.002997002997002997	0.000999000999000999																		
Dlg4_3	0.000999000999000999	0.002997002997002997	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999															
Dnajc17_1	0.958041958041958	0.9370629370629371	0.16783216783216784	1.0																	
Dnajc5_1	0.9010989010989011	0.9370629370629371	1.0	1.0	1.0																
Dram2_1	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																	
Ece2_4	0.000999000999000999	0.24975024975024976	1.0	1.0																	
Elovl6_2	0.974025974025974	0.4225774225774226	0.25574425574425574																		
Epb41l4aos_1	1.0	0.989010989010989	1.0	1.0																	
Epn2_5	0.000999000999000999	0.000999000999000999	0.000999000999000999																		
Eri3_5	0.05194805194805195	0.16083916083916083	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999															
Exoc6b_6	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.6973026973026973																	
Fam13b_8	0.983016983016983	0.39760239760239763	0.2057942057942058	1.0																	
Fam160a2_2	0.9180819180819181	1.0	0.981018981018981	1.0																	
Fam189b_2	0.977022977022977	0.000999000999000999	0.000999000999000999																		
Fam189b_3	0.974025974025974	0.024975024975024976	0.000999000999000999																		
Fam49b_1	0.45054945054945056	0.002997002997002997	0.8641358641358642																		
Fbxl5_7	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																
Fbxo42_3	0.7262737262737263	0.977022977022977																			
Flcn_1	0.000999000999000999	0.000999000999000999	0.000999000999000999																		
Fnbp4_6	0.977022977022977	0.000999000999000999																			
Gfra2_1	1.0	1.0	1.0																		
Gfra2_3	0.000999000999000999	0.000999000999000999	0.34865134865134867	1.0																	
Gpatch8_3	0.9050949050949051	0.989010989010989	1.0	1.0																	
Gria3_nmdSE_2	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																
Gtf2i_10	0.016983016983016984	0.00999000999000999	1.0	1.0																	
Ints10_3	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																
Isy1_3	0.030969030969030968	0.000999000999000999	0.000999000999000999	0.000999000999000999																	
Isyna1_3	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																	
Josd2_9	0.006993006993006993	0.000999000999000999	0.000999000999000999																		
Josd2_nmdSE_4	0.00999000999000999	0.000999000999000999	0.000999000999000999																		
Kcna6_1	0.000999000999000999	0.002997002997002997	0.8351648351648352	1.0																	
Kctd20_3	0.006993006993006993	0.14885114885114886	0.8351648351648352																		
Klhl26_2	0.9050949050949051	1.0	1.0																		
Lmbr1_11	1.0	1.0																			
Lrrc45_5	0.6283716283716284	0.37462537462537465	0.15184815184815184	1.0																	
Lsm5_3	0.000999000999000999	1.0																			
Lztfl1_3	0.000999000999000999	0.000999000999000999	0.000999000999000999																		
Lztfl1_5	0.000999000999000999	0.000999000999000999	0.000999000999000999																		
Map7d2_4	0.8041958041958042	1.0	1.0	1.0																	
Mapk8ip3_4	0.16883116883116883	0.989010989010989	0.3906093906093906	1.0	1.0																
Mast2_6	0.000999000999000999	0.000999000999000999	0.000999000999000999																		
Mia3_4	0.7832167832167832	0.2097902097902098	0.989010989010989	1.0																	
Miat_5	0.006993006993006993	0.000999000999000999	0.000999000999000999	1.0																	
Mllt10_22	0.000999000999000999	0.000999000999000999	0.000999000999000999	0.000999000999000999																	
Mroh1_10	0.3916083916083916	0.9790209790209791	1.0																		
Mtmr7_6	0.1008991008991009	0.000999000999000999	0.000999000999000999																		
